CodigoCliente,Estrato,Habitaciones,Ingresos,Consumo,IndiceRecaudo,Estado,QSAT
1000017,3,2,2.69,271,0.39,NORMAL,1
1000019,4,1,3.77,406,0.05,NORMAL,2
1000073,2,3,2.56,255,0.47,NORMAL,4
1000085,2,3,2.48,245,0.46,NORMAL,4
1000139,2,2,2.6,261,0.4,NORMAL,2
1000221,3,2,3.29,346,0.28,NORMAL,4
1000260,3,1,3.16,330,0.25,NORMAL,4
1000310,3,2,3.27,50,0.22,NORMAL,1
1000325,3,3,2.63,264,0.47,NORMAL,2
1000535,3,4,2.64,265,0.55,NORMAL,1
1000601,3,4,3.15,328,0.32,NORMAL,3
1000607,3,1,2.94,302,0.38,NORMAL,4
1000726,3,4,2.67,269,0.52,NORMAL,3
1000743,3,1,3.42,362,0.2,NORMAL,5
1000753,2,2,2.12,201,0.7,NORMAL,1
1000757,2,1,2.51,249,0.57,NORMAL,4
1000861,3,1,2.67,269,0.54,NORMAL,3
1000863,2,4,2.48,245,0.54,NORMAL,5
1000868,3,4,3.48,369,0.24,NORMAL,4
1000908,3,1,3.16,330,0.23,NORMAL,4
1000922,2,4,2.45,242,0.5,NORMAL,5
1000935,4,3,3.6,384,0.27,NORMAL,4
1001039,2,4,2.24,216,0.65,NORMAL,3
1001066,3,3,2.85,291,0.49,NORMAL,5
1001110,3,3,2.83,289,0.33,NORMAL,4
1001413,3,4,3.11,324,0.41,NORMAL,2
1001507,3,4,3.38,357,0.17,NORMAL,2
1001507,3,4,2.74,278,0.38,NORMAL,5
1001520,2,3,2.26,218,0.52,NORMAL,4
1001548,3,2,2.83,289,0.43,NORMAL,4
1001622,3,2,3.15,328,0.24,NORMAL,5
1001675,3,3,3,310,0.36,NORMAL,4
1001677,4,3,3.56,380,0.26,NORMAL,1
1001750,4,2,3.6,385,0.1,NORMAL,5
1001794,4,1,3.66,392,0.15,NORMAL,4
1001817,3,3,3.19,333,0.33,NORMAL,1
1001836,4,2,3.68,394,0.18,NORMAL,2
1001900,2,2,2.55,254,0.54,NORMAL,5
1001980,4,2,3.85,416,0.07,NORMAL,3
1002032,3,1,2.9,298,0.41,NORMAL,3
1002088,3,4,3.32,350,0.19,NORMAL,1
1002142,4,3,3.73,400,0.15,NORMAL,2
1002170,4,3,3.79,408,0.17,NORMAL,1
1002291,4,1,3.83,413,0.2,NORMAL,2
1002330,3,1,3.13,326,0.34,NORMAL,4
1002440,4,4,3.87,418,0.12,NORMAL,5
1002461,3,1,3.3,347,0.27,NORMAL,2
1002524,4,2,3.64,389,0.17,EN MORA,2
1002691,4,3,3.63,388,0.18,NORMAL,2
1002708,2,1,2.16,206,0.53,NORMAL,3
1002841,2,1,2.13,202,0.56,NORMAL,1
1002863,3,1,3.35,354,0.2,NORMAL,4
1002886,4,3,3.6,385,0.16,NORMAL,5
1002913,4,2,3.77,405,0.2,NORMAL,4
1002966,3,4,3.46,367,0.27,NORMAL,3
1002993,3,1,3.53,376,0.24,EN MORA,4
1003127,4,2,3.71,398,0.23,NORMAL,3
1003169,3,2,2.93,301,0.4,NORMAL,4
1003176,2,4,2.17,207,0.53,NORMAL,4
1003307,3,2,2.84,290,0.37,NORMAL,1
1003370,3,2,3.17,331,0.29,NORMAL,5
1003480,3,1,3.26,342,0.37,NORMAL,2
1003502,2,4,2.61,262,0.42,NORMAL,2
1003512,3,4,3.19,333,0.27,NORMAL,2
1003584,3,4,3.48,370,0.3,NORMAL,1
1003722,3,4,3.42,362,0.2,NORMAL,3
1003761,3,3,2.62,263,0.45,NORMAL,4
1003774,4,4,3.65,391,0.23,NORMAL,2
1003816,2,1,2.36,231,0.47,NORMAL,4
1003889,3,4,2.84,290,0.35,NORMAL,5
1003891,4,1,3.58,382,0.15,NORMAL,4
1003993,3,4,3.02,312,0.38,NORMAL,3
1004104,3,1,3.47,368,0.14,EN MORA,4
1004132,4,3,3.56,380,0.2,NORMAL,4
1004155,4,1,3.89,420,0.08,NORMAL,2
1004217,2,1,2.57,257,0.45,NORMAL,1
1004267,2,2,2.23,214,0.55,NORMAL,2
1004465,2,2,2.49,247,0.51,NORMAL,3
1004487,2,4,2.56,256,0.51,NORMAL,4
1004566,3,2,2.98,307,0.39,NORMAL,5
1004674,2,2,2.24,216,0.51,NORMAL,5
1004700,3,1,3.52,375,0.17,EN MORA,1
1004710,2,3,2.47,244,0.46,NORMAL,3
1004740,4,4,3.81,410,0.2,NORMAL,3
1004754,2,4,2.47,244,0.48,NORMAL,2
1004864,2,4,2.12,201,0.68,NORMAL,4
1004865,3,4,3.23,338,0.28,NORMAL,4
1004899,2,1,2.27,219,0.56,NORMAL,5
1004950,3,2,2.94,302,0.46,NORMAL,2
1004966,3,2,3.23,338,0.36,NORMAL,2
1005001,3,4,2.72,275,0.51,NORMAL,4
1005060,2,4,2.61,262,0.48,NORMAL,5
1005087,3,3,2.86,293,0.36,NORMAL,2
1005105,2,2,2.29,222,0.59,NORMAL,1
1005153,3,1,3.04,315,0.37,NORMAL,1
1005180,3,1,3.36,355,0.19,NORMAL,4
1005227,3,4,3.23,339,0.21,NORMAL,3
1005296,3,4,3.17,331,0.33,NORMAL,5
1005372,4,3,3.55,378,0.16,NORMAL,4
1005412,3,4,3.21,336,0.34,NORMAL,2
1005452,3,2,3.44,364,0.27,NORMAL,3
1005462,2,2,2.4,235,0.52,NORMAL,1
1005530,3,3,3.06,317,0.33,NORMAL,3
1005581,3,2,3.11,324,0.33,NORMAL,1
1005618,3,4,3.23,338,0.34,NORMAL,4
1005704,3,2,3.15,328,0.24,EN MORA,2
1005732,3,3,3.01,311,0.36,NORMAL,3
1005779,4,4,3.87,418,0.16,NORMAL,1
1005838,2,4,2.21,212,0.58,NORMAL,2
1005853,4,4,3.6,384,0.19,NORMAL,4
1005981,2,3,2.4,235,0.46,NORMAL,2
1006076,3,4,2.96,305,0.45,NORMAL,5
1006079,4,3,3.82,412,0.08,NORMAL,5
1006083,3,4,3.36,355,0.27,NORMAL,3
1006138,3,3,3.03,314,0.39,NORMAL,5
1006185,2,4,2.4,235,0.5,NORMAL,5
1006214,2,2,2.45,242,0.5,NORMAL,2
1006290,3,1,3.19,334,0.36,NORMAL,2
1006556,4,3,3.73,400,0.11,NORMAL,3
1006601,3,4,3.18,332,0.37,NORMAL,4
1006601,2,2,2.56,255,0.45,NORMAL,1
1006641,2,1,2.31,225,0.62,NORMAL,4
1006673,3,3,2.66,268,0.5,NORMAL,4
1006716,3,2,2.77,282,0.37,NORMAL,4
1006734,4,3,3.7,397,0.19,NORMAL,5
1006850,3,4,2.85,292,0.34,NORMAL,4
1006880,3,3,2.73,276,0.4,NORMAL,2
1006957,2,4,2.25,217,0.6,NORMAL,3
1006990,3,1,3.08,320,0.32,NORMAL,3
1007071,3,4,3.1,322,0.35,NORMAL,1
1007182,3,2,3.48,369,0.3,NORMAL,2
1007282,4,2,3.56,380,0.2,NORMAL,4
1007547,3,3,3.02,313,0.35,NORMAL,4
1007608,3,2,2.66,268,0.4,NORMAL,5
1007705,3,1,2.69,271,0.53,NORMAL,3
1007752,3,3,3,310,0.38,NORMAL,5
1007793,2,2,2.51,249,0.53,NORMAL,2
1007843,3,3,3.4,360,0.18,NORMAL,4
1007938,3,1,2.77,281,0.47,NORMAL,5
1008129,3,4,3.27,343,0.2,NORMAL,4
1008145,3,3,3.4,359,0.19,NORMAL,2
1008183,3,4,3.1,322,0.27,NORMAL,1
1008210,3,2,3.2,335,0.38,NORMAL,5
1008245,3,2,2.78,283,0.49,NORMAL,2
1008247,4,3,3.61,386,0.16,NORMAL,4
1008254,3,1,3.5,372,0.17,EN MORA,3
1008283,4,2,3.66,392,0.13,NORMAL,3
1008287,3,1,2.82,288,0.41,NORMAL,1
1008294,4,2,3.81,411,0.08,NORMAL,5
1008326,4,4,3.55,378,0.28,NORMAL,3
1008343,2,2,2.43,239,0.49,NORMAL,2
1008358,3,4,3.35,353,0.3,NORMAL,1
1008387,3,1,3.51,373,0.29,NORMAL,3
1008502,2,3,2.41,237,0.5,NORMAL,2
1008539,4,2,3.72,399,0.09,NORMAL,5
1008570,3,3,3.43,363,0.24,EN MORA,3
1008696,3,1,2.98,308,0.33,NORMAL,5
1008747,3,3,3,310,0.38,NORMAL,4
1008797,3,1,2.73,276,0.38,NORMAL,3
1008844,3,2,3.3,347,0.21,NORMAL,2
1008916,4,3,3.65,390,0.13,NORMAL,1
1009002,4,2,3.63,388,0.1,NORMAL,3
1009004,2,2,2.29,222,0.63,NORMAL,2
1009027,2,1,2.15,204,0.61,NORMAL,2
1009127,3,4,3.15,329,0.38,NORMAL,3
1009142,3,4,3.37,356,0.23,NORMAL,3
1009337,4,4,3.85,415,0.09,NORMAL,5
1009377,3,3,2.68,270,0.4,NORMAL,4
1009394,3,2,2.78,283,0.41,NORMAL,2
1009457,2,1,2.17,207,0.57,NORMAL,4
1009781,2,3,2.25,217,0.66,NORMAL,3
1009841,2,2,2.45,242,0.48,NORMAL,2
1009906,3,2,2.95,304,0.32,NORMAL,4
1009970,4,2,3.62,387,0.26,NORMAL,3
1009993,4,4,3.63,388,0.18,NORMAL,4
1009996,2,4,2.25,217,0.62,NORMAL,2
1010005,4,1,3.76,404,0.16,NORMAL,1
1010095,4,4,3.58,382,0.21,NORMAL,2
1010122,3,3,3.14,327,0.4,NORMAL,5
1010138,3,4,2.97,306,0.39,NORMAL,2
1010160,3,4,2.76,280,0.43,NORMAL,4
1010210,3,1,2.8,285,0.48,NORMAL,4
1010268,3,2,2.89,296,0.48,NORMAL,1
1010296,4,2,3.77,405,0.18,NORMAL,3
1010454,3,3,3.43,363,0.18,NORMAL,1
1010492,4,2,3.81,410,0.18,NORMAL,2
1010502,3,1,2.96,305,0.31,NORMAL,2
1010553,3,3,3.36,355,0.27,NORMAL,1
1010714,2,2,2.61,262,0.44,NORMAL,5
1010722,3,4,3.08,320,0.3,NORMAL,5
1010791,3,2,3.47,368,0.26,NORMAL,1
1010892,3,4,3.15,328,0.28,NORMAL,3
1010916,2,3,2.45,242,0.5,NORMAL,1
1010958,4,2,3.77,405,0.14,EN MORA,1
1011104,2,3,2.36,231,0.49,NORMAL,1
1011124,4,1,3.63,388,0.18,NORMAL,3
1011132,3,1,3.26,342,0.23,NORMAL,3
1011186,4,4,3.74,402,0.12,NORMAL,4
1011214,3,2,3.13,326,0.3,NORMAL,2
1011215,3,2,3.24,340,0.37,NORMAL,2
1011237,3,3,2.66,268,0.48,NORMAL,1
1011597,3,4,2.98,307,0.35,NORMAL,5
1011614,2,4,2.26,218,0.64,NORMAL,4
1011637,2,2,2.44,241,0.53,NORMAL,3
1011660,2,4,2.48,245,0.48,NORMAL,3
1011700,3,2,3.1,323,0.41,NORMAL,1
1011720,2,1,2.48,246,0.53,NORMAL,3
1011787,3,1,2.77,281,0.39,NORMAL,4
1011788,4,2,3.69,395,0.18,NORMAL,2
1011880,3,3,3.14,327,0.36,NORMAL,3
1011905,4,1,3.64,389,0.11,NORMAL,5
1011962,2,3,2.37,232,0.47,NORMAL,1
1011970,4,2,3.66,392,0.09,NORMAL,2
1011979,2,3,2.49,247,0.57,NORMAL,2
1012042,3,1,2.69,271,0.49,NORMAL,4
1012150,2,4,2.61,262,0.44,NORMAL,1
1012186,2,1,2.34,228,0.54,NORMAL,5
1012228,2,3,2.19,209,0.58,NORMAL,1
1012238,2,3,2.35,230,0.57,NORMAL,1
1012241,2,3,2.48,245,0.5,NORMAL,1
1012254,3,3,3.07,319,0.36,NORMAL,4
1012357,4,2,3.65,390,0.15,NORMAL,3
1012379,3,2,3.16,330,0.35,NORMAL,5
1012401,3,3,3.4,360,0.16,NORMAL,5
1012450,2,2,2.34,228,0.48,NORMAL,1
1012535,3,4,2.71,274,0.53,NORMAL,3
1012539,2,1,2.38,233,0.53,NORMAL,3
1012547,4,3,3.59,383,0.19,NORMAL,5
1012632,4,1,3.68,394,0.16,NORMAL,1
1012643,2,3,2.15,205,0.65,NORMAL,3
1012648,3,3,3.52,374,0.29,NORMAL,2
1012668,4,3,3.66,392,0.17,EN MORA,5
1012691,2,4,2.45,242,0.52,NORMAL,5
1012941,3,3,2.71,274,0.47,NORMAL,3
1012964,4,1,3.62,387,0.22,NORMAL,3
1013001,3,1,2.94,303,0.34,NORMAL,2
1013032,3,4,3.12,325,0.37,NORMAL,5
1013047,4,2,3.87,418,0.08,NORMAL,2
1013127,3,4,2.82,288,0.47,NORMAL,3
1013129,2,3,2.15,204,0.69,NORMAL,4
1013207,4,4,3.58,382,0.25,NORMAL,2
1013215,2,1,2.31,225,0.48,NORMAL,1
1013322,3,4,3.27,343,0.28,NORMAL,3
1013406,3,2,3.43,363,0.18,NORMAL,1
1013443,2,1,2.27,220,0.52,NORMAL,4
1013479,4,3,3.64,389,0.19,NORMAL,2
1013486,2,3,2.4,236,0.58,NORMAL,2
1013572,3,4,3.15,328,0.28,NORMAL,5
1013596,3,2,3.52,375,0.21,NORMAL,5
1013664,3,1,2.81,286,0.4,NORMAL,1
1013750,3,2,2.65,267,0.52,NORMAL,3
1013800,4,1,3.54,377,0.2,NORMAL,5
1013800,2,4,2.12,201,0.64,NORMAL,5
1013806,4,2,3.85,415,0.17,EN MORA,4
1013874,3,2,2.96,305,0.35,NORMAL,2
1013877,3,2,2.98,307,0.39,NORMAL,1
1013886,2,1,2.15,204,0.63,NORMAL,2
1014160,3,2,2.9,297,0.35,NORMAL,3
1014180,2,4,2.23,214,0.51,NORMAL,2
1014216,2,4,2.46,243,0.52,NORMAL,1
1014226,4,4,3.8,409,0.17,EN MORA,1
1014314,3,4,2.84,290,0.43,NORMAL,1
1014326,4,2,3.65,390,0.17,EN MORA,4
1014394,2,3,2.25,217,0.62,NORMAL,2
1014483,3,4,3.29,346,0.32,NORMAL,5
1014604,3,4,3.11,324,0.29,NORMAL,1
1014741,3,4,2.92,300,0.39,NORMAL,1
1014797,3,4,3.16,330,0.25,NORMAL,1
1014808,2,3,2.27,220,0.58,NORMAL,4
1014855,3,4,3.49,371,0.2,NORMAL,2
1014867,2,2,2.4,236,0.6,NORMAL,1
1014900,2,3,2.19,209,0.64,NORMAL,2
1015033,4,3,3.63,388,0.22,NORMAL,3
1015098,2,2,2.47,244,0.48,NORMAL,2
1015121,3,1,2.67,269,0.46,NORMAL,1
1015122,3,1,2.87,294,0.36,NORMAL,2
1015193,3,1,2.92,300,0.37,NORMAL,3
1015345,3,4,3.43,363,0.24,EN MORA,3
1015361,2,4,2.38,233,0.57,NORMAL,2
1015390,4,3,3.72,399,0.15,NORMAL,2
1015409,4,1,3.67,393,0.22,NORMAL,2
1015412,2,3,2.15,205,0.55,NORMAL,5
1015432,2,3,2.37,232,0.47,NORMAL,1
1015452,3,1,3.15,329,0.38,NORMAL,2
1015607,2,4,2.21,212,0.66,NORMAL,3
1015638,4,3,3.62,387,0.26,NORMAL,3
1015734,3,4,3.27,343,0.2,NORMAL,1
1015845,3,2,3,310,0.34,NORMAL,2
1015934,2,2,2.35,229,0.55,NORMAL,1
1016060,4,4,3.86,417,0.13,NORMAL,2
1016149,4,2,3.54,377,0.22,NORMAL,1
1016160,3,1,2.75,279,0.36,NORMAL,2
1016161,3,1,2.93,301,0.36,NORMAL,2
1016170,2,4,2.43,239,0.45,NORMAL,4
1016177,4,3,3.71,398,0.17,EN MORA,4
1016223,4,4,3.76,404,0.08,NORMAL,2
1016293,4,4,3.76,404,0.08,NORMAL,1
1016362,3,1,3.2,335,0.22,NORMAL,4
1016395,2,4,2.36,231,0.57,NORMAL,5
1016433,2,4,2.37,232,0.61,NORMAL,5
1016439,3,4,3.52,375,0.19,NORMAL,2
1016464,3,4,3.06,317,0.31,NORMAL,2
1016493,2,3,2.51,249,0.45,NORMAL,3
1016510,4,4,3.81,410,0.04,NORMAL,3
1016596,3,3,3.37,356,0.17,EN MORA,2
