CodigoCliente,Estrato,Habitaciones,Ingresos,Consumo,IndiceRecaudo,Estado,QSAT
1000048,4,2,1,278,0.77,NORMAL,2.7
1000132,3,3,1.6,203,0.48,NORMAL,2
1000160,1,3,1.7,304,0.43,NORMAL,4
1000160,3,2,2.7,318,0.06,NORMAL,2
1000181,2,4,2.2,411,0.87,NORMAL,2.3
1000208,4,2,1.8,297,0.2,NORMAL,3
1000257,0,2,3.3,328,0.17,NORMAL,1.1
1000300,1,2,2.7,416,0.14,NORMAL,4.3
1000303,3,5,1.3,317,0.13,NORMAL,4.4
1000345,3,4,-1.9,330,0.87,NORMAL,3
1000444,2,5,0,413,0.94,NORMAL,1.3
1000517,5,5,-1.9,380,,NORMAL,1.9
1000564,1,4,1.5,223,0.46,NORMAL,4.6
1000698,5,3,1.8,400,0.68,NORMAL,2.9
1000734,1,5,1.8,393,0.79,NORMAL,2.3
1000761,1,2,3.1,266,0.36,NORMAL,3.3
1000782,1,5,1.6,384,0.12,NORMAL,3.4
1000859,4,4,1.5,282,0.37,NORMAL,3.1
1001082,1,4,-1.9,282,0,NORMAL,2.9
1001107,0,2,-1.9,375,0.99,NORMAL,2.7
1001131,0,2,3.5,216,0.73,NORMAL,1.4
1001141,,5,1,380,0.26,NORMAL,5
1001193,,3,1.8,215,0.2,NORMAL,1.2
1001215,1,5,,321,0.16,NORMAL,2
1001263,3,4,2.6,381,0.92,NORMAL,3.5
1001396,1,4,2.6,220,0.99,NORMAL,1.9
1001478,1,3,1.1,212,0.15,NORMAL,2.9
1001531,2,5,2.8,253,0.36,NORMAL,2
1001535,0,5,1,204,0.55,NORMAL,2
1001791,,4,2,218,0.67,NORMAL,1.7
1001792,5,4,2.8,311,0.33,NORMAL,2.8
1001866,1,4,2.4,322,0.23,NORMAL,4.9
1001867,4,3,1.9,-149,0.03,NORMAL,2.4
1001889,0,5,2,339,0.27,NORMAL,1.8
1001900,4,2,1.2,327,0.93,NORMAL,3.1
1001940,1,3,1.6,228,0.35,NORMAL,2.2
1001951,4,5,1,321,0.91,NORMAL,3.1
1001977,0,2,2.3,399,0.76,NORMAL,3.9
1001987,,2,2.6,255,0.46,NORMAL,3.4
1002029,4,2,-1.9,213,0.19,NORMAL,3
1002074,2,5,2.4,202,0.14,NORMAL,3.3
1002093,5,4,1.5,393,0.74,NORMAL,3.3
1002143,1,2,1.2,271,0.29,NORMAL,1.1
1002166,5,4,2.1,331,0.18,NORMAL,1.6
1002179,0,5,2.6,291,0.82,NORMAL,2.2
1002223,4,4,-1.9,307,0.57,NORMAL,2.2
1002298,,4,1.6,321,0.95,NORMAL,2.1
1002445,3,3,2.4,282,0.39,NORMAL,3.9
1002553,2,5,3.4,288,0.97,NORMAL,1.4
1002563,0,2,3.5,373,0.7,NORMAL,1.5
1002589,4,4,3.5,218,0.51,NORMAL,1.8
1002610,1,4,3.1,260,0.18,NORMAL,1.9
1002623,2,3,1.5,383,0.66,NORMAL,4.8
1002648,0,4,-1.9,239,0.7,NORMAL,3.2
1002650,1,4,3.5,398,0.63,NORMAL,1.9
1002726,3,5,3.1,339,0.79,NORMAL,1.3
1002730,1,4,3,308,0.91,NORMAL,2.8
1002732,4,4,1.2,356,0.04,NORMAL,4.9
1002841,2,3,3.2,381,0.19,NORMAL,2.6
1002857,3,3,2.9,233,0.44,NORMAL,4.6
1002862,1,2,2.1,400,0.81,NORMAL,5
1002892,0,4,-1.9,315,0.07,NORMAL,1.9
1002909,4,3,-1.9,278,0.29,NORMAL,1.3
1002928,2,4,1.1,327,0.43,NORMAL,2.7
1002944,5,3,1,306,0.19,NORMAL,2.5
1003048,4,2,1.3,284,0.49,NORMAL,3.5
1003203,0,2,2.3,403,0.78,NORMAL,3.4
1003334,,4,2.6,265,0.99,NORMAL,2.7
1003356,5,4,2.9,262,0.76,NORMAL,2.8
1003380,5,2,3.3,259,0.45,NORMAL,5
1003408,2,4,3,276,0.52,NORMAL,3.5
1003409,3,2,2.3,361,0.38,NORMAL,3.8
1003413,4,3,2,263,0.75,NORMAL,2.9
1003434,5,4,3.3,347,0.89,NORMAL,1.8
1003464,0,4,1.5,298,0.59,NORMAL,3.2
1003537,1,5,3.5,286,0.61,NORMAL,4.2
1003664,3,5,1.9,343,0.15,NORMAL,1.3
1003680,1,3,3.2,263,0.95,NORMAL,2.4
1003708,2,5,-1.9,373,0.36,NORMAL,2
1003762,,2,-1.9,372,0.19,NORMAL,3
1003823,3,3,2.6,408,0.6,NORMAL,4.5
1004032,0,2,3.5,317,0.58,NORMAL,1.4
1004099,0,5,-1.9,262,0.84,NORMAL,1
1004105,,4,1.9,283,0.35,NORMAL,3.6
1004141,1,2,3,407,0.07,NORMAL,1.6
1004186,2,2,2.2,222,0.66,NORMAL,3
1004193,3,3,2.3,343,0.57,NORMAL,2
1004223,4,3,2.7,296,0.83,NORMAL,4.8
1004259,1,2,2,349,0.54,NORMAL,4.9
1004329,0,5,3,410,0.48,NORMAL,4.5
1004361,0,2,2.1,240,0,NORMAL,1.9
1004370,5,4,2.9,204,0.25,NORMAL,3.5
1004392,5,4,1,302,0.54,NORMAL,4.1
1004449,2,4,3,357,0.15,SUSPENDIDO,2.3
1004551,3,4,2.1,407,0.26,NORMAL,1.2
1004694,,2,2,416,0.65,NORMAL,4.7
1004740,4,3,3.3,204,0.65,NORMAL,2.8
1004752,5,4,3.2,248,0.71,NORMAL,2.5
1004828,3,3,2.1,234,0.2,NORMAL,4.7
1004995,5,5,1.3,319,0.38,NORMAL,3.4
1005016,1,2,1.9,395,0.62,NORMAL,1.2
1005134,1,5,3,406,0.63,NORMAL,3.1
1005134,0,2,1.3,282,0.11,NORMAL,5
1005137,5,4,1.5,406,1,NORMAL,4.8
1005218,0,5,2.3,418,0.47,NORMAL,4.8
1005237,4,2,2.7,228,0.26,NORMAL,4
1005328,5,3,1.1,368,0.2,NORMAL,3.6
1005372,1,3,3.3,299,0.55,NORMAL,4.2
1005396,,4,1.1,419,0.77,NORMAL,2.5
1005425,1,2,1.6,348,0.01,NORMAL,1
1005429,0,2,2.6,306,0.91,NORMAL,3.2
1005517,2,5,2.3,315,0.28,NORMAL,3.3
1005545,0,4,1.2,245,0.64,NORMAL,1.4
1005584,3,3,1.6,223,0.22,NORMAL,1.1
1005743,5,2,1.9,260,0.93,NORMAL,3.9
1005766,3,4,1.3,310,0.75,NORMAL,3.2
1005774,5,5,2.7,419,0.27,NORMAL,2.7
1005893,2,4,2.4,407,0.12,NORMAL,2
1005936,4,3,1.8,285,0.57,NORMAL,1.8
1006035,0,3,-1.9,368,0.11,NORMAL,4.7
1006051,4,2,3.2,231,0.55,NORMAL,1.5
1006075,4,3,-1.9,281,0.47,NORMAL,
1006150,2,4,3.4,402,0.03,NORMAL,1.6
1006215,1,5,1.9,403,0.39,NORMAL,3.4
1006312,3,4,2.4,290,0.38,NORMAL,4.5
1006430,5,4,2.6,341,0.84,NORMAL,2.2
1006453,1,5,2.9,420,0.62,NORMAL,3.3
1006640,0,2,2.2,226,0.25,NORMAL,1.4
1006681,3,3,1.6,249,0.65,NORMAL,4.4
1006762,4,2,-1.9,321,0.14,NORMAL,4.5
1006768,1,5,1.3,326,0.89,NORMAL,3.6
1006772,3,2,2.4,229,0.11,NORMAL,4
1006877,2,3,3.2,407,0.63,NORMAL,4.3
1006885,2,5,1.2,354,0.03,NORMAL,1.4
1006960,1,4,1.9,267,0.78,NORMAL,4.6
1007085,3,5,2.1,275,0.17,NORMAL,1.9
1007104,1,5,2.9,411,0.68,NORMAL,2.5
1007230,0,4,2.9,360,0.7,NORMAL,3.2
1007240,5,4,2.4,286,0.62,NORMAL,2
1007278,4,3,-1.9,298,0.23,NORMAL,3.2
1007334,1,2,1.8,298,0.63,NORMAL,2
